Pick,CDF-fitted dark time (s),number of binding sites,x,y,convex_hull
34,167.3222118948724,1.0,254.00331115722656,179.21206665039062,0.114896759390831
35,130.1823030865986,2.0,257.3778076171875,184.2149200439453,0.12248798459768295
36,154.2120623396849,2.0,277.2812194824219,178.85598754882812,0.11489187926054001
37,151.15010136508434,2.0,267.15985107421875,180.7639617919922,0.059669412672519684
39,36.58247215939836,7.0,264.9280700683594,187.74072265625,0.4569207429885864
40,44.922127813869864,6.0,267.79052734375,180.3154754638672,0.31297656893730164
41,199.21100711757913,1.0,263.1990051269531,181.60894775390625,0.12193769216537476
42,130.5008769065232,2.0,267.8927917480469,176.02294921875,0.11094746738672256
43,48.07771832073263,5.0,275.77435302734375,173.9335479736328,0.6017236709594727
46,114.33353908400085,2.0,266.3072814941406,191.6860809326172,0.36082327365875244
47,127.19803610892417,2.0,253.86891174316406,184.69900512695312,0.25874078273773193
48,73.64675652436192,3.0,270.5411376953125,183.14280700683594,0.19902952015399933
49,311.69506164652427,1.0,277.4766845703125,175.42088317871094,0.11120311170816422
50,391.49917813642526,1.0,253.375244140625,184.698974609375,0.1014975979924202
51,180.57663167707614,1.0,272.46551513671875,166.43930053710938,0.1021445244550705
53,142.23808576290543,2.0,263.6517639160156,170.6990966796875,0.10758725553750992
54,91.98293969189668,3.0,262.5316467285156,182.92713928222656,0.186872199177742
55,279.3545236399811,1.0,263.5622253417969,163.9871368408203,0.04632768779993057
56,188.00740666545832,1.0,267.1885070800781,174.81442260742188,0.06163300201296806
57,56.17862794058714,4.0,274.2367248535156,178.50794982910156,0.2976927161216736
58,90.77169101250149,3.0,268.7562255859375,188.7003936767578,0.33364373445510864
59,179.3405876994893,1.0,273.7911071777344,174.12307739257812,0.10704617947340012
60,157.0744560450966,2.0,258.6039123535156,188.40579223632812,0.17050853371620178
61,182.59475812367478,1.0,265.8782958984375,183.447265625,0.07000920176506042
62,199.28776827481406,1.0,256.9658203125,185.8560791015625,0.10172593593597412
63,58.666644038665034,4.0,261.3190612792969,167.24476623535156,0.2859556972980499
65,57.25595554486532,4.0,263.3138122558594,188.3921356201172,0.49203231930732727
66,230.0152352372363,1.0,265.4845275878906,162.86175537109375,0.10102495551109314
67,128.070354999961,2.0,257.46502685546875,180.32537841796875,0.14770089089870453
68,372.0631514082584,1.0,263.61767578125,164.74220275878906,0.045266930013895035
70,285.9331185343642,1.0,268.37127685546875,166.5511016845703,0.07898973673582077
71,348.57436884403484,1.0,261.5545349121094,180.05368041992188,0.04204444959759712
72,61.22306946761279,4.0,251.12445068359375,182.6411895751953,0.1845582127571106
73,309.4858786983805,1.0,268.45782470703125,182.0707244873047,0.03171546384692192
74,103.32411715692452,2.0,265.80828857421875,181.58091735839844,0.11268866062164307
76,117.97255636976301,2.0,255.69911193847656,181.34237670898438,0.13225390017032623
77,87.95715575455853,3.0,263.1072998046875,165.47235107421875,0.15187817811965942
78,140.58603989733416,2.0,266.2813415527344,190.0611572265625,0.2510550916194916
79,42.61940983431584,6.0,255.4886932373047,185.7627716064453,0.5416043400764465
80,222.50318515607484,1.0,269.0761413574219,178.6475372314453,0.12094888091087341
81,29.04079205630506,9.0,253.754638671875,186.68963623046875,0.6242890357971191
82,119.38669656260882,2.0,271.8730773925781,175.1220245361328,0.0780717134475708
84,305.43618160415707,1.0,262.34222412109375,169.1829833984375,0.06664897501468658
85,48.26157001036252,5.0,256.06585693359375,178.79371643066406,0.13242466747760773
86,82.11211943545221,3.0,262.282470703125,175.23399353027344,0.2238771766424179
88,153.23529291708968,2.0,258.5890197753906,184.64556884765625,0.1641833633184433
90,146.32505283755117,2.0,271.3486633300781,165.2696075439453,0.1392635703086853
93,151.28037480276708,2.0,269.3209228515625,176.2994842529297,0.09324334561824799
94,237.77658703285968,1.0,274.08489990234375,181.11160278320312,0.07223117351531982
95,94.63776755837831,3.0,271.55621337890625,170.67431640625,0.23210632801055908
96,317.2688042611171,1.0,254.15689086914062,181.2220001220703,0.07533296197652817
97,263.2038214297226,1.0,270.9142761230469,189.06129455566406,0.09479643404483795
98,264.49783574379137,1.0,264.9366149902344,172.59518432617188,0.13676698505878448
99,187.50308212603196,1.0,263.2381896972656,167.538818359375,0.06378183513879776
100,206.18082544114657,1.0,267.99462890625,169.58062744140625,0.10460131615400314
102,71.55078952919182,3.0,258.6969909667969,170.12405395507812,0.3062100410461426
103,63.86926896732621,4.0,252.36688232421875,182.12271118164062,0.17112314701080322
104,250.96325129424594,1.0,277.0213928222656,175.30560302734375,0.12137838453054428
105,76.70695805417431,3.0,262.3601379394531,173.64389038085938,0.20909148454666138
106,165.8810822361146,1.0,264.9405517578125,166.22210693359375,0.07752189040184021
108,88.10208532692077,3.0,266.29998779296875,171.11114501953125,0.20002371072769165
109,80.64980251115279,3.0,251.5913848876953,174.5200958251953,0.22921797633171082
110,39.65042269207212,6.0,278.5433044433594,177.9628143310547,1.1083550453186035
111,40.613741023605876,6.0,264.35382080078125,170.71299743652344,0.22022892534732819
112,59.050758771791514,4.0,251.97401428222656,180.4697265625,0.25855371356010437
114,249.1155214449188,1.0,266.4707336425781,171.90928649902344,0.16035494208335876
116,173.03564544638118,1.0,264.43505859375,178.0383758544922,0.06092864274978638
117,127.92834758530515,2.0,258.5417175292969,187.7976531982422,0.11286959052085876
118,210.97888190589433,1.0,252.90464782714844,185.1688995361328,0.12963838875293732
119,46.397209700440214,5.0,266.8253479003906,175.12733459472656,0.17497152090072632
