Pick,CDF-fitted dark time (s)
0,57.51191202314022
2,284.7450579574803
3,32.419267252859115
4,111.34063735341634
7,6.355731067200817
9,50.94591174000335
10,68.64495861847807
11,234.05093415255746
12,62.969712516793095
13,269.6346184556184
14,154.38113529875466
15,278.2906428654375
16,44.6431630147076
17,85.67509978454977
18,159.42543941617475
19,160.9334599463638
20,98.03159161911985
21,97.28959197524334
22,193.9588086201356
25,64.88809971759788
26,31.404746539773942
27,237.27250638441262
28,208.07152115675245
30,33.543990259500355
31,235.56739040056615
33,144.72174203510104
34,167.3222118948724
35,130.1823030865986
36,154.2120623396849
37,151.15010136508434
39,36.58247215939836
40,44.922127813869864
41,199.21100711757913
42,130.5008769065232
43,48.07771832073263
46,114.33353908400085
47,127.19803610892417
48,73.64675652436192
49,311.69506164652427
50,391.49917813642526
51,180.57663167707614
53,142.23808576290543
54,91.98293969189668
55,279.3545236399811
56,188.00740666545832
57,56.17862794058714
58,90.77169101250149
59,179.3405876994893
60,157.0744560450966
61,182.59475812367478
62,199.28776827481406
63,58.666644038665034
65,57.25595554486532
66,230.0152352372363
67,128.070354999961
68,372.0631514082584
70,285.9331185343642
71,348.57436884403484
72,61.22306946761279
73,309.4858786983805
74,103.32411715692452
76,117.97255636976301
77,87.95715575455853
78,140.58603989733416
79,42.61940983431584
80,222.50318515607484
81,29.04079205630506
82,119.38669656260882
84,305.43618160415707
85,48.26157001036252
86,82.11211943545221
88,153.23529291708968
90,146.32505283755117
93,151.28037480276708
94,237.77658703285968
95,94.63776755837831
96,317.2688042611171
97,263.2038214297226
98,264.49783574379137
99,187.50308212603196
100,206.18082544114657
102,71.55078952919182
103,63.86926896732621
104,250.96325129424594
105,76.70695805417431
106,165.8810822361146
108,88.10208532692077
109,80.64980251115279
110,39.65042269207212
111,40.613741023605876
112,59.050758771791514
114,249.1155214449188
116,173.03564544638118
117,127.92834758530515
118,210.97888190589433
119,46.397209700440214
120,96.5097459966141
122,451.26819366587904
123,38.03124239444452
126,21.48708265755341
127,179.8499447443066
128,255.8485323319304
129,52.4723509201717
130,72.35285119443179
131,64.77983921759437
132,191.431882170113
133,131.94582468043723
134,88.46017763429803
135,59.10304034333494
136,248.72771071095414
138,354.20019888463827
139,235.9280903735191
140,206.58609066644726
141,252.5469467638145
142,116.70483786726018
143,123.9167122463542
144,151.5819785799018
145,106.12622197689439
146,260.1279787850614
148,90.72045006845913
150,95.23053340405185
151,35.218344361458726
152,248.33019729262335
153,232.22163511867507
154,62.33902022177527
155,124.02731279060696
156,338.3211334587517
158,197.43654784539274
159,47.427623208375635
161,118.56323088382678
162,40.71306913514067
164,259.2981601113791
165,308.04295723597704
166,64.58904101960042
167,234.9242816941844
169,375.8705173793623
170,248.80411069756514
171,104.68731277600955
172,89.9973311066581
173,138.65674003866405
174,151.02424146044305
175,320.3693088665172
179,326.13687502296324
180,88.76880452993117
181,119.74019970522313
184,187.9905040676171
185,309.81982387362433
188,88.47416388683733
189,208.60813270046742
190,112.70857815284216
191,131.4718441233482
194,196.04838970973174
195,170.9653139794524
196,159.89500594549324
197,183.45703283670863
198,212.63579850508634
200,146.0835837679129
203,155.8782124756038
204,228.32943541699262
205,92.41553281853956
206,125.46860304703412
207,394.6107488504349
208,116.75088064891885
210,46.71245973547008
211,160.10529432478393
212,109.31905530278682
214,246.89500864435107
216,154.95917258116793
218,181.83576285160652
219,282.2998150699341
220,170.28541698031952
221,101.79762271856774
222,141.57489364836965
223,73.63084225391256
224,207.36885945335018
225,124.14824536968257
227,96.65608072663301
228,105.93823845577892
229,163.12776462123193
230,254.4884395493522
232,119.80630966366336
233,196.1298568751035
234,95.77225856457352
237,141.7660113019759
238,240.72979903189741
240,126.07638982550306
241,220.71777817189323
242,142.57501226741945
244,115.42116371470246
246,383.1746445833013
247,329.79413705987935
248,226.9870040726748
249,87.33368619029206
250,93.08623126864443
255,314.0450917320438
257,156.47678476867685
258,241.1300580864669
262,201.7514453480911
263,100.62728132347745
264,83.30335737951056
265,197.68568215443844
267,244.50043654426264
268,144.61565808091817
269,183.5869460502478
270,259.9293498673264
271,272.1152991193598
272,214.4780341312983
274,324.2844819461662
275,199.84911440952766
277,276.9803862703679
279,102.75161329730683
280,390.3530257538304
282,139.24563475908178
283,408.00206813023493
284,76.98428244675279
285,75.64862036566007
286,300.05820290732436
287,99.90804346719484
288,205.04899580846757
289,211.0681434350566
291,189.67943234447125
293,95.5884150702878
294,260.1725314018014
297,101.90308820111919
299,243.69234645069946
300,110.28881894236655
301,171.13967640339675
303,352.7468257310117
305,410.9805930400686
306,198.89910511732288
308,331.138120550585
309,693.6604746594032
311,189.58777018849955
312,489.90800255886376
313,129.6373138785354
314,118.33340453217107
315,87.28153820071779
317,253.85688909283272
318,162.98180091535866
319,112.38143161506633
322,264.5201474892392
323,156.57143415365016
325,222.68381966612807
328,324.85768043402993
329,163.79801564993068
330,174.3527602053417
333,109.01015272053144
334,199.76315806839443
335,323.3796478663287
336,268.76604552851467
337,142.35858761668462
339,226.90981189537584
340,129.74948017413922
343,140.2427403788878
344,209.96490980151088
345,236.64894570048577
347,207.68756563708953
348,291.1032634147386
349,300.92808586177455
350,240.46326904412618
351,135.43341970201575
352,166.8301698619873
353,100.90727348402822
354,361.76405811029457
357,207.94101524821605
358,222.72919950195413
359,204.9552537606504
361,214.11910982043997
362,75.97988699485522
363,249.21508779370515
365,154.75873674174684
366,224.72304792297422
368,213.5211244338591
369,252.18900911007964
370,95.99256809036672
374,239.72162260225178
375,130.10363714366488
376,185.18847808255543
379,318.9489206741713
381,218.59868036090106
382,368.80709894693956
383,253.31036977314048
384,307.5972813842815
385,145.21729236735362
387,97.19276348101577
390,248.7840582339548
391,162.88251567536744
392,132.24290813417588
394,230.88873220264244
395,184.99727019767127
396,164.701295389888
397,369.9188184035217
399,83.84593429853544
401,331.18253928893625
403,275.6013192081516
404,266.53468235866484
405,400.10411388201027
406,139.22781948648668
407,341.2324248915632
410,217.5303706964594
411,191.28252436445968
413,220.92960524205438
415,201.44664436292604
417,556.432199509063
419,160.74902615840227
420,143.8188021718872
423,138.2569861495116
424,384.8040416080821
425,310.6568224817504
426,396.12283054757177
429,214.071725464319
430,305.44355012297683
432,221.46457397517085
434,368.0234304013793
435,276.39313278554636
437,200.56066787737646
441,167.29294336792236
443,414.95803723048084
444,280.1806066392625
446,143.11398146306482
447,320.7410940854776
450,264.1959432361596
451,202.9077619583208
452,144.3185803974864
453,192.89357100483824
454,120.66480590038086
456,265.0540064200174
458,151.702035909199
459,355.20516104653643
460,154.72953175860323
461,91.66143765792293
462,174.87021381018056
463,249.70512376734834
466,156.85245310537172
467,209.53255911136077
468,210.7551185214754
470,426.15004466467747
471,196.8932705928448
472,449.8852430788145
475,154.63537703700317
477,134.01559179960176
481,197.33218535229125
482,505.1275190240018
483,409.2898103473046
486,183.18820343353127
487,204.2175427838222
493,219.77738024989313
495,141.6343620578921
497,303.4287358694334
498,188.50327620382308
499,332.1513503902334
503,246.14955593445066
504,347.73753782859035
505,243.0219032065296
506,197.20466148150913
507,254.99055120135068
509,159.7797449571216
510,174.238265275589
512,248.1362597826139
513,274.2959400139531
514,185.03182182193135
515,158.29984262662467
516,184.44190095609449
518,151.39964964409347
520,654.0518065641661
521,157.36869513074836
523,156.16789527076799
524,197.33714393674836
525,208.44593351463547
529,170.8393168815114
531,358.4354841283698
537,162.1685599197529
538,424.0501354700128
541,390.78596613967187
542,413.20270496985137
543,223.5751406168159
544,299.29360823120965
547,309.3970637739024
548,291.21732820100067
551,277.64281532806876
552,261.88855063058844
553,205.16457486946777
558,205.80394758674385
559,201.73624491318165
562,144.990895360272
564,219.82635909812603
565,487.075045184514
566,284.0601356103403
568,46.29595022542729
575,390.8866040586253
578,313.3163930542972
579,176.0289361642917
581,95.00940518676188
582,285.7713737266172
584,140.65373320219476
585,254.78029315103274
586,152.50157767398562
588,513.9952099194543
591,234.9864383666651
596,248.0711283525965
