Pick,CDF-fitted dark time (s)
0,369.9188184035217
2,266.94214662826437
4,173.03497630881654
6,291.1032634147386
7,414.95803723048084
8,164.701295389888
10,234.9242816941844
11,252.47906004852544
12,143.47629303643544
13,246.14955593445066
15,192.8641504952049
16,230.88873220264244
22,189.58777018849955
23,241.21806355455496
24,282.79467126247204
27,143.8188021718872
29,246.89500864435107
30,204.47071821181407
32,341.2324248915632
35,353.636610548138
37,205.04899580846757
